variant,slide_id,scanner_probe_accuracy,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst
paired_reference,scc_01,0.6900000000000001,0.7064365474879741,0.5497040271759033,0.9824999999999999,0.9
paired_reference,scc_02,0.7022222222222222,0.7033516344096926,0.6051622357633379,0.9966666666666667,0.9666666666666666
paired_reference,scc_03,0.78,0.7085407127274407,0.6515167510067975,0.9564814814814815,0.9074074074074074
paired_reference,scc_04,0.6285714285714286,0.6154173045498984,0.49101787464959284,0.9614285714285714,0.9
paired_reference,scc_05,0.7415384615384616,0.672980224482524,0.6352120836575826,0.8428205128205128,0.7102564102564102
paired_reference,scc_06,0.6133333333333333,0.647181203895145,0.5821787681844499,0.93,0.8444444444444444
paired_reference,scc_07,0.7023529411764706,0.693517105640734,0.634678446019397,0.9255882352941176,0.8764705882352942
paired_reference,scc_08,0.688,0.6548911862373352,0.5798178350925445,0.8140000000000001,0.6399999999999999
paired_reference,scc_09,0.7935483870967742,0.6181229778844863,0.4681251755525027,0.854516129032258,0.6483870967741935
paired_reference,scc_10,0.73,0.7018610422611237,0.6527599918842316,0.9795,0.9400000000000001
paired_reference,scc_11,0.6057142857142856,0.7277469534107617,0.6583223342895508,0.95,0.8714285714285713
paired_reference,scc_12,0.8017391304347827,0.7271035765824111,0.6466997426489125,0.952608695652174,0.8956521739130434
paired_reference,scc_13,0.7127272727272727,0.7239545773376118,0.6472060910680077,0.9695454545454545,0.909090909090909
paired_reference,scc_14,0.6849999999999999,0.7074212154746056,0.6438482910394668,1.0,1.0
paired_reference,scc_15,0.7253333333333333,0.7326360961596171,0.6478165527184804,0.8826666666666666,0.8
paired_reference,scc_16,0.7574193548387097,0.7018993017558128,0.6336949477272649,0.9480645161290322,0.8903225806451612
paired_reference,scc_17,0.6842105263157895,0.7013859519833012,0.6303536063746402,0.968421052631579,0.9210526315789472
paired_reference,scc_18,0.796,0.699230655670166,0.6428263872861862,0.9814999999999999,0.9349999999999999
paired_reference,scc_19,0.8276923076923077,0.6587476667074057,0.5750322827926049,0.9707692307692307,0.876923076923077
paired_reference,scc_20,0.8181818181818181,0.713783969445662,0.6380006378347224,0.9754545454545454,0.9272727272727274
paired_reference,scc_21,1.0,0.6303182077407837,0.38413628935813904,0.97,0.7
paired_reference,scc_22,0.8290909090909091,0.6893650731173429,0.6078496751460162,0.8727272727272727,0.7818181818181819
paired_reference,scc_23,0.6466666666666667,0.7453710241119067,0.6692350258429846,1.0,1.0
paired_reference,scc_24,0.655,0.688554911352694,0.6475574620068073,0.9806250000000001,0.925
paired_reference,scc_25,0.7714285714285715,0.7168962171673775,0.6389778614044189,0.9892857142857142,0.95
paired_reference,scc_26,0.700952380952381,0.714543046440397,0.6484746107033321,0.9685714285714285,0.9333333333333333
paired_reference,scc_27,0.7822222222222223,0.7184075438976288,0.6467492434713575,0.9977777777777778,0.9777777777777779
paired_reference,scc_28,0.7692307692307693,0.6603654048305291,0.5820428889531356,0.9930769230769231,0.9307692307692308
paired_reference,scc_29,0.8240000000000001,0.6534251554287397,0.5898735067936091,0.9132307692307693,0.8461538461538461
paired_reference,scc_30,0.724,0.6791698346734047,0.569576780796051,0.961,0.8800000000000001
paired_reference,scc_31,0.6993548387096775,0.7985471992723403,0.7713299014875965,0.8480645161290322,0.7774193548387096
paired_reference,scc_32,0.722,0.666266906104982,0.5173500492982567,0.9125,0.795
paired_reference,scc_33,0.8309090909090908,0.7018985477089882,0.6171868340535598,0.9786363636363637,0.9318181818181819
paired_reference,scc_34,0.725,0.7156335385888815,0.6300607427954674,0.97625,0.9
paired_reference,scc_35,0.7466666666666667,0.7343898602326712,0.6833736101786296,1.0,1.0
paired_reference,scc_36,0.792,0.6985502045601606,0.6233055998384953,0.9880000000000001,0.9550000000000001
paired_reference,scc_37,0.7485714285714286,0.6874336612224579,0.6045412233897618,0.9985714285714286,0.9857142857142858
paired_reference,scc_38,0.7984615384615384,0.7072020126420717,0.616019042294759,0.9746153846153846,0.9346153846153846
paired_reference,scc_39,0.7566666666666666,0.7133196474611759,0.6186305925250053,0.9616666666666667,0.875
paired_reference,scc_40,0.63,0.6873788551986217,0.6071711644530297,0.9974999999999999,0.975
paired_reference,scc_41,0.68,0.7572584390640259,0.6747355985641479,1.0,1.0
paired_reference,scc_42,0.6285714285714286,0.7258177368981498,0.6547867230006628,1.0,1.0
paired_reference,scc_43,0.779016393442623,0.6868878535462207,0.6204751730453772,0.838688524590164,0.7147540983606557
paired_reference,scc_44,0.8285714285714286,0.6909054369160107,0.6106866508722305,0.8864285714285713,0.7928571428571429
pathoalign_dep20,scc_01,0.33999999999999997,0.7427330626547336,0.6075383394956588,0.9574999999999999,0.8
pathoalign_dep20,scc_02,0.31111111111111106,0.7281186309787963,0.6315056019359165,0.9977777777777778,0.9777777777777779
pathoalign_dep20,scc_03,0.36962962962962964,0.7465029058522649,0.6881949823211742,0.9616666666666667,0.9111111111111111
pathoalign_dep20,scc_04,0.38857142857142857,0.6471591384921755,0.5562047805104937,0.9885714285714287,0.9285714285714285
pathoalign_dep20,scc_05,0.3517948717948718,0.6980232943174166,0.6501379118515895,0.8448717948717949,0.7102564102564102
pathoalign_dep20,scc_06,0.3022222222222222,0.665041980644067,0.5910700778166452,0.9255555555555557,0.8111111111111111
pathoalign_dep20,scc_07,0.38588235294117645,0.7260441958027728,0.6598812630947899,0.93,0.8794117647058824
pathoalign_dep20,scc_08,0.42400000000000004,0.6888345640897751,0.6146621239185334,0.842,0.6799999999999999
pathoalign_dep20,scc_09,0.38838709677419353,0.6634450359594437,0.5081805490197674,0.8512903225806451,0.667741935483871
pathoalign_dep20,scc_10,0.33399999999999996,0.7391932846605778,0.6791375052928924,0.9835,0.9400000000000001
pathoalign_dep20,scc_11,0.34571428571428575,0.7508132744686944,0.6711972517626626,0.9542857142857143,0.8642857142857142
pathoalign_dep20,scc_12,0.3634782608695652,0.7675116382733636,0.6829352967117144,0.9521739130434783,0.8826086956521738
pathoalign_dep20,scc_13,0.31636363636363635,0.7549817669120702,0.6827670574188233,0.9681818181818181,0.9
pathoalign_dep20,scc_14,0.33499999999999996,0.7511482781916856,0.6933241851627827,1.0,1.0
pathoalign_dep20,scc_15,0.376,0.7634051384925843,0.6762802668412526,0.9013333333333333,0.8
pathoalign_dep20,scc_16,0.367741935483871,0.7374162923905156,0.6707383873001221,0.9596774193548387,0.9064516129032258
pathoalign_dep20,scc_17,0.30105263157894735,0.7386901819392254,0.6704149559924477,0.9736842105263157,0.9315789473684211
pathoalign_dep20,scc_18,0.39,0.7351213846206666,0.683236278295517,0.986,0.945
pathoalign_dep20,scc_19,0.44000000000000006,0.6975456715547121,0.6056206570221827,0.9646153846153845,0.8923076923076924
pathoalign_dep20,scc_20,0.36363636363636365,0.7556870556961407,0.6840410373427651,0.9790909090909091,0.9363636363636363
pathoalign_dep20,scc_21,0.44000000000000006,0.6806893593072891,0.45931206941604613,0.97,0.8
pathoalign_dep20,scc_22,0.36,0.7293356888131661,0.6463686344298449,0.8804545454545455,0.7954545454545455
pathoalign_dep20,scc_23,0.36,0.7814790300528208,0.7156000892321269,1.0,1.0
pathoalign_dep20,scc_24,0.35750000000000004,0.7223570599406959,0.6762155741453171,0.9862500000000001,0.95
pathoalign_dep20,scc_25,0.34285714285714286,0.7636719053557941,0.6987718565123422,0.9907142857142859,0.9428571428571428
pathoalign_dep20,scc_26,0.34095238095238095,0.7317885474931626,0.659920109737487,0.9642857142857142,0.9285714285714286
pathoalign_dep20,scc_27,0.3688888888888889,0.7435968301031325,0.6612374126911164,0.9988888888888889,0.9888888888888889
pathoalign_dep20,scc_28,0.34461538461538466,0.6924373661096279,0.6137726247310639,0.9953846153846154,0.9538461538461538
pathoalign_dep20,scc_29,0.3698461538461538,0.6937265482453199,0.6196655264726052,0.9167692307692308,0.8415384615384616
pathoalign_dep20,scc_30,0.36,0.718523030936718,0.5921611118316651,0.96,0.89
pathoalign_dep20,scc_31,0.3432258064516129,0.8227911647481303,0.7961629648362436,0.853225806451613,0.767741935483871
pathoalign_dep20,scc_32,0.388,0.6936699366718531,0.5352610617130995,0.9155,0.785
pathoalign_dep20,scc_33,0.35454545454545455,0.7421270039406689,0.6642571376128631,0.9786363636363637,0.9318181818181819
pathoalign_dep20,scc_34,0.34500000000000003,0.7490340591967106,0.6693773314356803,0.9737500000000001,0.9
pathoalign_dep20,scc_35,0.30666666666666664,0.7525939877827963,0.6947003444035847,1.0,1.0
pathoalign_dep20,scc_36,0.386,0.7325645568817853,0.6596883225440979,0.9905000000000002,0.95
pathoalign_dep20,scc_37,0.3828571428571429,0.7199678482328142,0.6362413167953491,0.9985714285714286,0.9857142857142858
pathoalign_dep20,scc_38,0.36,0.7430925943759771,0.6520457641436503,0.9773076923076923,0.926923076923077
pathoalign_dep20,scc_39,0.35666666666666663,0.737287328839302,0.6269890740513802,0.9608333333333334,0.85
pathoalign_dep20,scc_40,0.37,0.7084712252020836,0.6232799232006073,0.9974999999999999,0.975
pathoalign_dep20,scc_41,0.336,0.7850691683292389,0.7072344613075257,0.9960000000000001,0.9800000000000001
pathoalign_dep20,scc_42,0.3028571428571428,0.7550093059880393,0.6906473176819937,1.0,1.0
pathoalign_dep20,scc_43,0.3770491803278688,0.7195288321717841,0.6429763172493607,0.8357377049180329,0.7049180327868853
pathoalign_dep20,scc_44,0.3685714285714286,0.731137368295874,0.6557255314929145,0.89,0.7857142857142857
